Target,Target Data,Brand,CL0,Campaign Name,Ad Group Name,Bid,Priority,Merchant Id,Budget,Label,Country
Product type,Wood Rings - Gemstone Titanium Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gemstone Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Camo|Enamel,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Camo|Enamel,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 11.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 11.75,0.20,0,8978972,100,PLA,United States
Product type,Misc - Mossy Oak Camo,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Mossy Oak Camo,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Black Ceramic Wood Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Black Ceramic Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Services - custom quotes,Jewelry by Johan,Services,GSN - General - Services,GSN General - Services - custom quotes,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Titanium Wood Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Titanium Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Precious Metal Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Tungsten Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Tungsten Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gemstone Wood Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gemstone Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Diamond Engagement Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Diamond Engagement Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gemstone Sustainable Jewelry,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gemstone Sustainable Jewelry,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Wood Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Bullet Shell,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Bullet Shell,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Stardust Meteorite Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Stardust Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Gifts Under $250 - Bracelets Under $250,Jewelry by Johan,Gifts Under $250,GSN - General - Gifts Under $250,GSN General - Gifts Under $250 - Bracelets Under $250,0.20,0,8978972,100,PLA,United States
Product type,Misc - Antler|Camo,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Antler|Camo,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Dinosaur Bone Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Dinosaur Bone Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Titanium Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Necklaces - Diamond Necklaces,Jewelry by Johan,Necklaces,GSN - General - Necklaces,GSN General - Necklaces - Diamond Necklaces,0.20,0,8978972,100,PLA,United States
Product type,Bracelets - Custom Beads,Jewelry by Johan,Bracelets,GSN - General - Bracelets,GSN General - Bracelets - Custom Beads,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Black Ceramic Wood Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Black Ceramic Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Mokume Mokume Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Mokume Mokume Rings,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Meteorite Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Gold Precious Metal Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Gold Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Titanium Wood Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Titanium Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Mokume Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Mokume Rings,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Custom Damascus Rings,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Custom Damascus Rings,0.20,0,8978972,100,PLA,United States
Product type,Gifts Under $250 - Earrings Under $250,Jewelry by Johan,Gifts Under $250,GSN - General - Gifts Under $250,GSN General - Gifts Under $250 - Earrings Under $250,0.20,0,8978972,100,PLA,United States
Product type,Gifts Under $250 - Rings Under $250,Jewelry by Johan,Gifts Under $250,GSN - General - Gifts Under $250,GSN General - Gifts Under $250 - Rings Under $250,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Antler Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Antler Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Damascus Damascus Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Damascus Damascus Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gemstone Precious Metal Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gemstone Precious Metal Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Titanium Wedding Bands,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Titanium Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Titanium Meteorite Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Titanium Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Tungsten Meteorite Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Tungsten Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Wedding Bands,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Silver Titanium Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Silver Titanium Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Mokume Mokume Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Mokume Mokume Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Interchangeable Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Interchangeable Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Sea Glass,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Sea Glass,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gemstone Wedding Bands,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gemstone Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Necklaces - Moissanite Necklaces,Jewelry by Johan,Necklaces,GSN - General - Necklaces,GSN General - Necklaces - Moissanite Necklaces,0.20,0,8978972,100,PLA,United States
Product type,Engagement Rings - Moissanite,Jewelry by Johan,Engagement Rings,GSN - General - Engagement Rings,GSN General - Engagement Rings - Moissanite,0.20,0,8978972,100,PLA,United States
Product type,Earrings - Moissanite,Jewelry by Johan,Earrings,GSN - General - Earrings,GSN General - Earrings - Moissanite,0.20,0,8978972,100,PLA,United States
Product type,In Stock Ready to Ship - Size 15 - 15.75,Jewelry by Johan,In Stock Ready to Ship,GSN - General - In Stock Ready to Ship,GSN General - In Stock Ready to Ship - Size 15 - 15.75,0.20,0,8978972,100,PLA,United States
Product type,Bracelets - Meteorite,Jewelry by Johan,Bracelets,GSN - General - Bracelets,GSN General - Bracelets - Meteorite,0.20,0,8978972,100,PLA,United States
Product type,Earrings - Meteorite,Jewelry by Johan,Earrings,GSN - General - Earrings,GSN General - Earrings - Meteorite,0.20,0,8978972,100,PLA,United States
Product type,Earrings - Diamond Earrings,Jewelry by Johan,Earrings,GSN - General - Earrings,GSN General - Earrings - Diamond Earrings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Tungsten Tungsten Rings,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Tungsten Tungsten Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Gold Dinosaur Bone Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Gold Dinosaur Bone Rings,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Titanium,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Titanium,0.20,0,8978972,100,PLA,United States
Product type,Cuff Links - Meteorite Meteorite Rings,Jewelry by Johan,Cuff Links,GSN - General - Cuff Links,GSN General - Cuff Links - Meteorite Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Mokume Meteorite Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Mokume Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gemstone Wood Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gemstone Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Cuff Links - Dinosaur Bone Dinosaur Bone Rings,Jewelry by Johan,Cuff Links,GSN - General - Cuff Links,GSN General - Cuff Links - Dinosaur Bone Dinosaur Bone Rings,0.20,0,8978972,100,PLA,United States
Product type,Misc - Dinosaur Bone|Turquoise,Jewelry by Johan,Misc,GSN - General - Misc,GSN General - Misc - Dinosaur Bone|Turquoise,0.20,0,8978972,100,PLA,United States
Product type,Meteorite Rings - Titanium Wedding Bands,Jewelry by Johan,Meteorite Rings,GSN - General - Meteorite Rings,GSN General - Meteorite Rings - Titanium Wedding Bands,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gold Meteorite Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gold Meteorite Rings,0.20,0,8978972,100,PLA,United States
Product type,Wood Rings - Gold Wood Rings,Jewelry by Johan,Wood Rings,GSN - General - Wood Rings,GSN General - Wood Rings - Gold Wood Rings,0.20,0,8978972,100,PLA,United States
Product type,Wedding Bands - Wedding Ring Sets,Jewelry by Johan,Wedding Bands,GSN - General - Wedding Bands,GSN General - Wedding Bands - Wedding Ring Sets,0.20,0,8978972,100,PLA,United States
Product type,Dinosaur Bone Rings - Tungsten Tungsten Rings,Jewelry by Johan,Dinosaur Bone Rings,GSN - General - Dinosaur Bone Rings,GSN General - Dinosaur Bone Rings - Tungsten Tungsten Rings,0.20,0,8978972,100,PLA,United States
Product type,Antler Rings - Gemstone Antler Rings,Jewelry by Johan,Antler Rings,GSN - General - Antler Rings,GSN General - Antler Rings - Gemstone Antler Rings,0.20,0,8978972,100,PLA,United States
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
