Keyword1,Keyword2,Keyword3,Keyword4,Headline1,Headline2,description,finalUrls,path1,path2,availability,bid,campaignname,adgroupname,campaignbudget
keyword41,keyword51,keyword61,keyword71,headline41,headline51,description41,http://finalurl41.com,folder41,folder51, in_stock,34, campaign30,adgroup28,117
keyword42,keyword52,keyword62,keyword72,headline42,headline52,description42,http://finalurl42.com,folder42,folder52, in_stock,34, campaign30,adgroup28,117
keyword43,keyword53,keyword63,keyword73,headline43,headline53,description43,http://finalurl43.com,folder43,folder53, in_stock,34, campaign30,adgroup28,117
keyword44,keyword54,keyword64,keyword74,headline44,headline54,description44,http://finalurl44.com,folder44,folder54, in_stock,34, campaign30,adgroup28,117
keyword45,keyword55,keyword65,keyword75,headline45,headline55,description45,http://finalurl45.com,folder45,folder55, in_stock,34, campaign30,adgroup28,117
keyword46,keyword56,keyword66,keyword76,headline46,headline56,description46,http://finalurl46.com,folder46,folder56, in_stock,34, campaign30,adgroup28,117
keyword47,keyword57,keyword67,keyword77,headline47,headline57,description47,http://finalurl47.com,folder47,folder57, in_stock,34, campaign30,adgroup28,117
keyword48,keyword58,keyword68,keyword78,headline48,headline58,description48,http://finalurl48.com,folder48,folder58, in_stock,34, campaign30,adgroup28,117
keyword49,keyword59,keyword69,keyword79,headline49,headline59,description49,http://finalurl49.com,folder49,folder59, in_stock,34, campaign30,adgroup28,117
keyword50,keyword60,keyword70,keyword80,headline50,headline60,description50,http://finalurl50.com,folder50,folder60, in_stock,45, campaign38,adgroup39,137
keyword51,keyword61,keyword71,keyword81,headline51,headline61,description51,http://finalurl51.com,folder51,folder61, in_stock,45, campaign38,adgroup39,137
keyword52,keyword62,keyword72,keyword82,headline52,headline62,description52,http://finalurl52.com,folder52,folder62, in_stock,45, campaign38,adgroup39,137
keyword53,keyword63,keyword73,keyword83,headline53,headline63,description53,http://finalurl53.com,folder53,folder63, in_stock,45, campaign38,adgroup39,137
keyword54,keyword64,keyword74,keyword84,headline54,headline64,description54,http://finalurl54.com,folder54,folder64, in_stock,45, campaign38,adgroup39,137
keyword55,keyword65,keyword75,keyword85,headline55,headline65,description55,http://finalurl55.com,folder55,folder65, in_stock,50, campaign38,adgroup44,137
keyword56,keyword66,keyword76,keyword86,headline56,headline66,description56,http://finalurl56.com,folder56,folder66, in_stock,50, campaign38,adgroup44,137
keyword57,keyword67,keyword77,keyword87,headline57,headline67,description57,http://finalurl57.com,folder57,folder67, in_stock,50, campaign38,adgroup44,137
keyword58,keyword68,keyword78,keyword88,headline58,headline68,description58,http://finalurl58.com,folder58,folder68, in_stock,50, campaign38,adgroup44,137
keyword59,keyword69,keyword79,keyword89,headline59,headline69,description59,http://finalurl59.com,folder59,folder69, in_stock,61, campaign45,adgroup45,150
keyword60,keyword70,keyword80,keyword90,headline60,headline70,description60,http://finalurl60.com,folder60,folder70, in_stock,61, campaign45,adgroup45,150
keyword61,keyword71,keyword81,keyword91,headline61,headline71,description61,http://finalurl61.com,folder61,folder71, in_stock,61, campaign45,adgroup45,150
keyword62,keyword72,keyword82,keyword92,headline62,headline72,description62,http://finalurl62.com,folder62,folder72, in_stock,61, campaign45,adgroup45,150
keyword63,keyword73,keyword83,keyword93,headline63,headline73,description63,http://finalurl63.com,folder63,folder73, in_stock,61, campaign45,adgroup45,150
keyword64,keyword74,keyword84,keyword94,headline64,headline74,description64,http://finalurl64.com,folder64,folder74, in_stock,61, campaign45,adgroup45,150
keyword65,keyword75,keyword85,keyword95,headline65,headline75,description65,http://finalurl65.com,folder65,folder75, in_stock,61, campaign45,adgroup45,150
keyword66,keyword76,keyword86,keyword96,headline66,headline76,description66,http://finalurl66.com,folder66,folder76, in_stock,61, campaign45,adgroup45,150
keyword67,keyword77,keyword87,keyword97,headline67,headline77,description67,http://finalurl67.com,folder67,folder77, in_stock,61, campaign45,adgroup45,150
keyword68,keyword78,keyword88,keyword98,headline68,headline78,description68,http://finalurl68.com,folder68,folder78, in_stock,61, campaign45,adgroup45,150
keyword69,keyword79,keyword89,keyword99,headline69,headline79,description69,http://finalurl69.com,folder69,folder79, in_stock,61, campaign45,adgroup45,150
keyword70,keyword80,keyword90,keyword100,headline70,headline80,description70,http://finalurl70.com,folder70,folder80, in_stock,61, campaign45,adgroup45,150
keyword71,keyword81,keyword91,keyword101,headline71,headline81,description71,http://finalurl71.com,folder71,folder81, in_stock,61, campaign45,adgroup45,150
keyword72,keyword82,keyword92,keyword102,headline72,headline82,description72,http://finalurl72.com,folder72,folder82, in_stock,61, campaign45,adgroup45,150
keyword73,keyword83,keyword93,keyword103,headline73,headline83,description73,http://finalurl73.com,folder73,folder83, in_stock,61, campaign45,adgroup45,150
keyword74,keyword84,keyword94,keyword104,headline74,headline84,description74,http://finalurl74.com,folder74,folder84, in_stock,61, campaign45,adgroup45,150
keyword75,keyword85,keyword95,keyword105,headline75,headline85,description75,http://finalurl75.com,folder75,folder85, in_stock,61, campaign45,adgroup45,150
keyword76,keyword86,keyword96,keyword106,headline76,headline86,description76,http://finalurl76.com,folder76,folder86, in_stock,36, campaign45,adgroup46,150
keyword77,keyword87,keyword97,keyword107,headline77,headline87,description77,http://finalurl77.com,folder77,folder87, in_stock,36, campaign45,adgroup46,150
keyword78,keyword88,keyword98,keyword108,headline78,headline88,description78,http://finalurl78.com,folder78,folder88, in_stock,36, campaign45,adgroup46,150
keyword79,keyword89,keyword99,keyword109,headline79,headline89,description79,http://finalurl79.com,folder79,folder89, in_stock,36, campaign45,adgroup46,150
keyword80,keyword90,keyword100,keyword110,headline80,headline90,description80,http://finalurl80.com,folder80,folder90, in_stock,36, campaign45,adgroup46,150
keyword81,keyword91,keyword101,keyword111,headline81,headline91,description81,http://finalurl81.com,folder81,folder91, in_stock,36, campaign45,adgroup46,150
keyword82,keyword92,keyword102,keyword112,headline82,headline92,description82,http://finalurl82.com,folder82,folder92, in_stock,36, campaign45,adgroup46,150
keyword83,keyword93,keyword103,keyword113,headline83,headline93,description83,http://finalurl83.com,folder83,folder93, in_stock,36, campaign45,adgroup46,150
keyword84,keyword94,keyword104,keyword114,headline84,headline94,description84,http://finalurl84.com,folder84,folder94, in_stock,36, campaign45,adgroup46,150
keyword85,keyword95,keyword105,keyword115,headline85,headline95,description85,http://finalurl85.com,folder85,folder95, in_stock,36, campaign45,adgroup46,150
keyword86,keyword96,keyword106,keyword116,headline86,headline96,description86,http://finalurl86.com,folder86,folder96, in_stock,36, campaign45,adgroup46,150
keyword87,keyword97,keyword107,keyword117,headline87,headline97,description87,http://finalurl87.com,folder87,folder97, in_stock,36, campaign45,adgroup46,150
keyword88,keyword98,keyword108,keyword118,headline88,headline98,description88,http://finalurl88.com,folder88,folder98, in_stock,36, campaign45,adgroup46,150
keyword89,keyword99,keyword109,keyword119,headline89,headline99,description89,http://finalurl89.com,folder89,folder99, in_stock,36, campaign45,adgroup46,150
keyword90,keyword100,keyword110,keyword120,headline90,headline100,description90,http://finalurl90.com,folder90,folder100, in_stock,36, campaign45,adgroup46,150
keyword91,keyword101,keyword111,keyword121,headline91,headline101,description91,http://finalurl91.com,folder91,folder101, in_stock,36, campaign45,adgroup46,150
keyword92,keyword102,keyword112,keyword122,headline92,headline102,description92,http://finalurl92.com,folder92,folder102, in_stock,36, campaign45,adgroup46,150
keyword93,keyword103,keyword113,keyword123,headline93,headline103,description93,http://finalurl93.com,folder93,folder103, in_stock,36, campaign45,adgroup46,150
keyword94,keyword104,keyword114,keyword124,headline94,headline104,description94,http://finalurl94.com,folder94,folder104, in_stock,36, campaign45,adgroup46,150
keyword95,keyword105,keyword115,keyword125,headline95,headline105,description95,http://finalurl95.com,folder95,folder105, in_stock,36, campaign45,adgroup46,150
keyword96,keyword106,keyword116,keyword126,headline96,headline106,description96,http://finalurl96.com,folder96,folder106, in_stock,36, campaign45,adgroup46,150
keyword97,keyword107,keyword117,keyword127,headline97,headline107,description97,http://finalurl97.com,folder97,folder107, in_stock,36, campaign45,adgroup46,150
keyword98,keyword108,keyword118,keyword128,headline98,headline108,description98,http://finalurl98.com,folder98,folder108, in_stock,36, campaign45,adgroup46,150
keyword99,keyword109,keyword119,keyword129,headline99,headline109,description99,http://finalurl99.com,folder99,folder109, in_stock,36, campaign45,adgroup46,150
keyword100,keyword110,keyword120,keyword130,headline100,headline110,description100,http://finalurl100.com,folder100,folder110, in_stock,36, campaign45,adgroup46,150
keyword101,keyword111,keyword121,keyword131,headline101,headline111,description101,http://finalurl101.com,folder101,folder111, in_stock,36, campaign45,adgroup46,150
keyword102,keyword112,keyword122,keyword132,headline102,headline112,description102,http://finalurl102.com,folder102,folder112, in_stock,36, campaign45,adgroup46,150
keyword103,keyword113,keyword123,keyword133,headline103,headline113,description103,http://finalurl103.com,folder103,folder113, in_stock,36, campaign45,adgroup46,150
keyword104,keyword114,keyword124,keyword134,headline104,headline114,description104,http://finalurl104.com,folder104,folder114, in_stock,36, campaign45,adgroup46,150
keyword105,keyword115,keyword125,keyword135,headline105,headline115,description105,http://finalurl105.com,folder105,folder115, in_stock,36, campaign45,adgroup46,150
keyword106,keyword116,keyword126,keyword136,headline106,headline116,description106,http://finalurl106.com,folder106,folder116, in_stock,36, campaign45,adgroup46,150
keyword107,keyword117,keyword127,keyword137,headline107,headline117,description107,http://finalurl107.com,folder107,folder117, in_stock,36, campaign45,adgroup46,150
keyword108,keyword118,keyword128,keyword138,headline108,headline118,description108,http://finalurl108.com,folder108,folder118, in_stock,36, campaign45,adgroup46,150
keyword109,keyword119,keyword129,keyword139,headline109,headline119,description109,http://finalurl109.com,folder109,folder119, in_stock,36, campaign45,adgroup46,150
keyword110,keyword120,keyword130,keyword140,headline110,headline120,description110,http://finalurl110.com,folder110,folder120, in_stock,36, campaign45,adgroup46,150
keyword111,keyword121,keyword131,keyword141,headline111,headline121,description111,http://finalurl111.com,folder111,folder121, in_stock,36, campaign45,adgroup46,150
keyword112,keyword122,keyword132,keyword142,headline112,headline122,description112,http://finalurl112.com,folder112,folder122, in_stock,36, campaign45,adgroup46,150
keyword113,keyword123,keyword133,keyword143,headline113,headline123,description113,http://finalurl113.com,folder113,folder123, in_stock,36, campaign45,adgroup46,150
keyword114,keyword124,keyword134,keyword144,headline114,headline124,description114,http://finalurl114.com,folder114,folder124, in_stock,36, campaign45,adgroup46,150
keyword115,keyword125,keyword135,keyword145,headline115,headline125,description115,http://finalurl115.com,folder115,folder125, in_stock,36, campaign45,adgroup46,150
keyword116,keyword126,keyword136,keyword146,headline116,headline126,description116,http://finalurl116.com,folder116,folder126, in_stock,36, campaign45,adgroup46,150
keyword117,keyword127,keyword137,keyword147,headline117,headline127,description117,http://finalurl117.com,folder117,folder127, in_stock,36, campaign45,adgroup46,150
keyword118,keyword128,keyword138,keyword148,headline118,headline128,description118,http://finalurl118.com,folder118,folder128, in_stock,36, campaign45,adgroup46,150
keyword119,keyword129,keyword139,keyword149,headline119,headline129,description119,http://finalurl119.com,folder119,folder129, in_stock,36, campaign45,adgroup46,150
keyword120,keyword130,keyword140,keyword150,headline120,headline130,description120,http://finalurl120.com,folder120,folder130, in_stock,36, campaign45,adgroup46,150
keyword121,keyword131,keyword141,keyword151,headline121,headline131,description121,http://finalurl121.com,folder121,folder131, in_stock,36, campaign45,adgroup46,150
keyword122,keyword132,keyword142,keyword152,headline122,headline132,description122,http://finalurl122.com,folder122,folder132, in_stock,36, campaign45,adgroup46,150
keyword123,keyword133,keyword143,keyword153,headline123,headline133,description123,http://finalurl123.com,folder123,folder133, in_stock,36, campaign45,adgroup46,150
keyword124,keyword134,keyword144,keyword154,headline124,headline134,description124,http://finalurl124.com,folder124,folder134, in_stock,36, campaign45,adgroup46,150
keyword125,keyword135,keyword145,keyword155,headline125,headline135,description125,http://finalurl125.com,folder125,folder135, in_stock,36, campaign45,adgroup46,150
keyword126,keyword136,keyword146,keyword156,headline126,headline136,description126,http://finalurl126.com,folder126,folder136, in_stock,36, campaign45,adgroup46,150
keyword127,keyword137,keyword147,keyword157,headline127,headline137,description127,http://finalurl127.com,folder127,folder137, in_stock,36, campaign45,adgroup46,150
keyword128,keyword138,keyword148,keyword158,headline128,headline138,description128,http://finalurl128.com,folder128,folder138, in_stock,36, campaign45,adgroup46,150
keyword129,keyword139,keyword149,keyword159,headline129,headline139,description129,http://finalurl129.com,folder129,folder139, in_stock,36, campaign45,adgroup46,150
keyword130,keyword140,keyword150,keyword160,headline130,headline140,description130,http://finalurl130.com,folder130,folder140, in_stock,36, campaign45,adgroup46,150
keyword131,keyword141,keyword151,keyword161,headline131,headline141,description131,http://finalurl131.com,folder131,folder141, in_stock,36, campaign45,adgroup46,150
keyword132,keyword142,keyword152,keyword162,headline132,headline142,description132,http://finalurl132.com,folder132,folder142, in_stock,36, campaign45,adgroup46,150
keyword133,keyword143,keyword153,keyword163,headline133,headline143,description133,http://finalurl133.com,folder133,folder143, in_stock,36, campaign45,adgroup46,150
keyword134,keyword144,keyword154,keyword164,headline134,headline144,description134,http://finalurl134.com,folder134,folder144, in_stock,36, campaign45,adgroup46,150
keyword135,keyword145,keyword155,keyword165,headline135,headline145,description135,http://finalurl135.com,folder135,folder145, in_stock,36, campaign45,adgroup46,150
keyword136,keyword146,keyword156,keyword166,headline136,headline146,description136,http://finalurl136.com,folder136,folder146, in_stock,36, campaign45,adgroup46,150
keyword137,keyword147,keyword157,keyword167,headline137,headline147,description137,http://finalurl137.com,folder137,folder147, in_stock,36, campaign45,adgroup46,150
keyword138,keyword148,keyword158,keyword168,headline138,headline148,description138,http://finalurl138.com,folder138,folder148, in_stock,36, campaign45,adgroup46,150
keyword139,keyword149,keyword159,keyword169,headline139,headline149,description139,http://finalurl139.com,folder139,folder149, in_stock,36, campaign45,adgroup46,150
keyword140,keyword150,keyword160,keyword170,headline140,headline150,description140,http://finalurl140.com,folder140,folder150, in_stock,36, campaign45,adgroup46,150
keyword141,keyword151,keyword161,keyword171,headline141,headline151,description141,http://finalurl141.com,folder141,folder151, in_stock,36, campaign45,adgroup46,150
keyword142,keyword152,keyword162,keyword172,headline142,headline152,description142,http://finalurl142.com,folder142,folder152, in_stock,36, campaign45,adgroup46,150
keyword143,keyword153,keyword163,keyword173,headline143,headline153,description143,http://finalurl143.com,folder143,folder153, in_stock,36, campaign45,adgroup46,150
keyword144,keyword154,keyword164,keyword174,headline144,headline154,description144,http://finalurl144.com,folder144,folder154, in_stock,36, campaign45,adgroup46,150
keyword145,keyword155,keyword165,keyword175,headline145,headline155,description145,http://finalurl145.com,folder145,folder155, in_stock,36, campaign45,adgroup46,150
keyword146,keyword156,keyword166,keyword176,headline146,headline156,description146,http://finalurl146.com,folder146,folder156, in_stock,36, campaign45,adgroup46,150
keyword147,keyword157,keyword167,keyword177,headline147,headline157,description147,http://finalurl147.com,folder147,folder157, in_stock,36, campaign45,adgroup46,150
keyword148,keyword158,keyword168,keyword178,headline148,headline158,description148,http://finalurl148.com,folder148,folder158, in_stock,36, campaign45,adgroup46,150
keyword149,keyword159,keyword169,keyword179,headline149,headline159,description149,http://finalurl149.com,folder149,folder159, in_stock,36, campaign45,adgroup46,150
keyword150,keyword160,keyword170,keyword180,headline150,headline160,description150,http://finalurl150.com,folder150,folder160, in_stock,36, campaign45,adgroup46,150
keyword151,keyword161,keyword171,keyword181,headline151,headline161,description151,http://finalurl151.com,folder151,folder161, in_stock,36, campaign45,adgroup46,150
keyword152,keyword162,keyword172,keyword182,headline152,headline162,description152,http://finalurl152.com,folder152,folder162, in_stock,36, campaign45,adgroup46,150
keyword153,keyword163,keyword173,keyword183,headline153,headline163,description153,http://finalurl153.com,folder153,folder163, in_stock,36, campaign45,adgroup46,150
keyword154,keyword164,keyword174,keyword184,headline154,headline164,description154,http://finalurl154.com,folder154,folder164, in_stock,36, campaign45,adgroup46,150
keyword155,keyword165,keyword175,keyword185,headline155,headline165,description155,http://finalurl155.com,folder155,folder165, in_stock,36, campaign45,adgroup46,150
keyword156,keyword166,keyword176,keyword186,headline156,headline166,description156,http://finalurl156.com,folder156,folder166, in_stock,36, campaign45,adgroup46,150
keyword157,keyword167,keyword177,keyword187,headline157,headline167,description157,http://finalurl157.com,folder157,folder167, in_stock,36, campaign45,adgroup46,150
keyword158,keyword168,keyword178,keyword188,headline158,headline168,description158,http://finalurl158.com,folder158,folder168, in_stock,36, campaign45,adgroup46,150
keyword159,keyword169,keyword179,keyword189,headline159,headline169,description159,http://finalurl159.com,folder159,folder169, in_stock,36, campaign45,adgroup46,150
keyword160,keyword170,keyword180,keyword190,headline160,headline170,description160,http://finalurl160.com,folder160,folder170, in_stock,36, campaign45,adgroup46,150
keyword161,keyword171,keyword181,keyword191,headline161,headline171,description161,http://finalurl161.com,folder161,folder171, in_stock,36, campaign45,adgroup46,150
keyword162,keyword172,keyword182,keyword192,headline162,headline172,description162,http://finalurl162.com,folder162,folder172, in_stock,36, campaign45,adgroup46,150
keyword163,keyword173,keyword183,keyword193,headline163,headline173,description163,http://finalurl163.com,folder163,folder173, in_stock,36, campaign45,adgroup46,150
keyword164,keyword174,keyword184,keyword194,headline164,headline174,description164,http://finalurl164.com,folder164,folder174, in_stock,36, campaign45,adgroup46,150
keyword165,keyword175,keyword185,keyword195,headline165,headline175,description165,http://finalurl165.com,folder165,folder175, in_stock,36, campaign45,adgroup46,150
keyword166,keyword176,keyword186,keyword196,headline166,headline176,description166,http://finalurl166.com,folder166,folder176, in_stock,36, campaign45,adgroup46,150
keyword167,keyword177,keyword187,keyword197,headline167,headline177,description167,http://finalurl167.com,folder167,folder177, in_stock,36, campaign45,adgroup46,150
keyword168,keyword178,keyword188,keyword198,headline168,headline178,description168,http://finalurl168.com,folder168,folder178, in_stock,36, campaign45,adgroup46,150
keyword169,keyword179,keyword189,keyword199,headline169,headline179,description169,http://finalurl169.com,folder169,folder179, in_stock,36, campaign46,adgroup46,200
keyword170,keyword180,keyword190,keyword200,headline170,headline180,description170,http://finalurl170.com,folder170,folder180, in_stock,36, campaign46,adgroup46,200
keyword171,keyword181,keyword191,keyword201,headline171,headline181,description171,http://finalurl171.com,folder171,folder181, in_stock,36, campaign46,adgroup46,200
keyword172,keyword182,keyword192,keyword202,headline172,headline182,description172,http://finalurl172.com,folder172,folder182, in_stock,36, campaign46,adgroup46,200
keyword173,keyword183,keyword193,keyword203,headline173,headline183,description173,http://finalurl173.com,folder173,folder183, in_stock,36, campaign46,adgroup46,200
keyword174,keyword184,keyword194,keyword204,headline174,headline184,description174,http://finalurl174.com,folder174,folder184, in_stock,36, campaign46,adgroup46,200
keyword175,keyword185,keyword195,keyword205,headline175,headline185,description175,http://finalurl175.com,folder175,folder185, in_stock,36, campaign46,adgroup46,200
keyword176,keyword186,keyword196,keyword206,headline176,headline186,description176,http://finalurl176.com,folder176,folder186, in_stock,36, campaign46,adgroup46,200
keyword177,keyword187,keyword197,keyword207,headline177,headline187,description177,http://finalurl177.com,folder177,folder187, in_stock,36, campaign46,adgroup46,200
keyword178,keyword188,keyword198,keyword208,headline178,headline188,description178,http://finalurl178.com,folder178,folder188, in_stock,36, campaign46,adgroup46,200
keyword179,keyword189,keyword199,keyword209,headline179,headline189,description179,http://finalurl179.com,folder179,folder189, in_stock,36, campaign46,adgroup46,200
keyword180,keyword190,keyword200,keyword210,headline180,headline190,description180,http://finalurl180.com,folder180,folder190, in_stock,36, campaign46,adgroup46,200
keyword181,keyword191,keyword201,keyword211,headline181,headline191,description181,http://finalurl181.com,folder181,folder191, in_stock,36, campaign46,adgroup46,200
keyword182,keyword192,keyword202,keyword212,headline182,headline192,description182,http://finalurl182.com,folder182,folder192, in_stock,36, campaign46,adgroup46,200
keyword183,keyword193,keyword203,keyword213,headline183,headline193,description183,http://finalurl183.com,folder183,folder193, in_stock,36, campaign46,adgroup46,200
keyword184,keyword194,keyword204,keyword214,headline184,headline194,description184,http://finalurl184.com,folder184,folder194, in_stock,36, campaign46,adgroup46,200
keyword185,keyword195,keyword205,keyword215,headline185,headline195,description185,http://finalurl185.com,folder185,folder195, in_stock,36, campaign46,adgroup46,200
keyword186,keyword196,keyword206,keyword216,headline186,headline196,description186,http://finalurl186.com,folder186,folder196, in_stock,36, campaign46,adgroup46,200
keyword187,keyword197,keyword207,keyword217,headline187,headline197,description187,http://finalurl187.com,folder187,folder197, in_stock,36, campaign46,adgroup46,200
keyword188,keyword198,keyword208,keyword218,headline188,headline198,description188,http://finalurl188.com,folder188,folder198, in_stock,36, campaign46,adgroup46,200
keyword189,keyword199,keyword209,keyword219,headline189,headline199,description189,http://finalurl189.com,folder189,folder199, in_stock,36, campaign46,adgroup46,200
keyword190,keyword200,keyword210,keyword220,headline190,headline200,description190,http://finalurl190.com,folder190,folder200, in_stock,36, campaign46,adgroup46,200
keyword191,keyword201,keyword211,keyword221,headline191,headline201,description191,http://finalurl191.com,folder191,folder201, in_stock,36, campaign46,adgroup46,200
keyword192,keyword202,keyword212,keyword222,headline192,headline202,description192,http://finalurl192.com,folder192,folder202, in_stock,36, campaign46,adgroup46,200
keyword193,keyword203,keyword213,keyword223,headline193,headline203,description193,http://finalurl193.com,folder193,folder203, in_stock,36, campaign46,adgroup46,200
keyword194,keyword204,keyword214,keyword224,headline194,headline204,description194,http://finalurl194.com,folder194,folder204, in_stock,36, campaign46,adgroup46,200
keyword195,keyword205,keyword215,keyword225,headline195,headline205,description195,http://finalurl195.com,folder195,folder205, in_stock,36, campaign46,adgroup46,200
keyword196,keyword206,keyword216,keyword226,headline196,headline206,description196,http://finalurl196.com,folder196,folder206, in_stock,36, campaign46,adgroup46,200
keyword197,keyword207,keyword217,keyword227,headline197,headline207,description197,http://finalurl197.com,folder197,folder207, in_stock,36, campaign46,adgroup46,200
keyword198,keyword208,keyword218,keyword228,headline198,headline208,description198,http://finalurl198.com,folder198,folder208, in_stock,36, campaign46,adgroup46,200
keyword199,keyword209,keyword219,keyword229,headline199,headline209,description199,http://finalurl199.com,folder199,folder209, in_stock,36, campaign46,adgroup46,200
keyword200,keyword210,keyword220,keyword230,headline200,headline210,description200,http://finalurl200.com,folder200,folder210, in_stock,36, campaign46,adgroup46,200
keyword201,keyword211,keyword221,keyword231,headline201,headline211,description201,http://finalurl201.com,folder201,folder211, in_stock,36, campaign46,adgroup46,200
keyword202,keyword212,keyword222,keyword232,headline202,headline212,description202,http://finalurl202.com,folder202,folder212, in_stock,36, campaign46,adgroup46,200
keyword203,keyword213,keyword223,keyword233,headline203,headline213,description203,http://finalurl203.com,folder203,folder213, in_stock,36, campaign46,adgroup46,200
keyword204,keyword214,keyword224,keyword234,headline204,headline214,description204,http://finalurl204.com,folder204,folder214, in_stock,36, campaign46,adgroup46,200
keyword205,keyword215,keyword225,keyword235,headline205,headline215,description205,http://finalurl205.com,folder205,folder215, in_stock,36, campaign46,adgroup46,200
keyword206,keyword216,keyword226,keyword236,headline206,headline216,description206,http://finalurl206.com,folder206,folder216, in_stock,36, campaign46,adgroup46,200
keyword207,keyword217,keyword227,keyword237,headline207,headline217,description207,http://finalurl207.com,folder207,folder217, in_stock,36, campaign46,adgroup46,200
keyword208,keyword218,keyword228,keyword238,headline208,headline218,description208,http://finalurl208.com,folder208,folder218, in_stock,36, campaign46,adgroup46,200
keyword209,keyword219,keyword229,keyword239,headline209,headline219,description209,http://finalurl209.com,folder209,folder219, in_stock,36, campaign46,adgroup46,200
